SAMPLE,AUTHOR,GROUP,RIVER,SITE,VEL,DEPTH,SUB,unassigned,Acroloxidae,Aeshnidae,Ameletidae,Ancylidae,Anthomyiidae,Apataniidae,Aphelocheiridae,Asellidae,Astacidae,Athericidae,Baetidae,Beraeidae,Bithyniidae,Blephariceridae,Brachycentridae,Caenidae,Calamoceratidae,Calopterygidae,Cambaridae,Ceratopogonidae,Chironomidae,Chloroperlidae,Coenagrionidae,Corbiculidae,Cordulegastridae,Corixidae,Crambidae,Culicidae,Curculionidae,Dendrocoelidae,Dixidae,Dolichopodidae,Dreissenidae,Dryopidae,Dugesiidae,Dytiscidae,Ecnomidae,Elmidae,Empididae,Enchytraeidae,Ephemerellidae,Ephemeridae,Ephydridae,Erpobdellidae,Gammaridae,Gerridae,Glossiphoniidae,Glossosomatidae,Goeridae,Gomphidae,Gyrinidae,Haemopidae,Haliplidae,Haplotaxidae,Helophoridae,Heptageniidae,Hirudinidae,Hydrachnidae,Hydraenidae,Hydridae,Hydrobiidae,Hydrochidae,Hydrometridae,Hydrophilidae,Hydropsychidae,Hydroptilidae,Ichneumonidae,Lepidostomatidae,Leptoceridae,Leptophlebiidae,Lestidae,Leuctridae,Libellulidae,Limnephilidae,Limoniidae,Lumbricidae,Lumbriculidae,Lymnaeidae,Melanopsidae,Mesoveliidae,Muscidae,Naididae,Nemouridae,Nepidae,Neritidae,Odontoceridae,Oligoneuriidae,Pediciidae,Perlidae,Perlodidae,Philopotamidae,Phryganeidae,Physidae,Piscicolidae,Planariidae,Planorbidae,Platycnemididae,Polycentropodidae,Potamanthidae,Prosopistomatidae,Psephenidae,Psychodidae,Psychomyiidae,Ptilocolepidae,Pyralidae,Rhagionidae,Rhyacophilidae,Sciomyzidae,Scirtidae,Sericostomatidae,Sialidae,Simuliidae,Siphlonuridae,Sphaeriidae,Stratiomyidae,Tabanidae,Taeniopterygidae,Thaumaleidae,Tipulidae,Tubificidae,Valvatidae,Veliidae,Viviparidae,RICHNESS,EPT,EPT_prop,EPT_abu,OCH,OCH_prop,OCH_abu,EPT_EPTOCH,ABUNDANCE,SHANNON,ASPT,LIFE,FUN_RICHNESS_ALL,FUN_DIVERSITY_ALL,FUN_RICHNESS_ECO,FUN_DIVERSITY_ECO,FUN_RICHNESS_BIO,FUN_DIVERSITY_BIO
Alex_OGL_diciotto_101,Alex,OGL,OGL,OGL_diciotto,0.36576,0.13,Medium,5,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,3,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,12,7,0.410447761,55,1,0.007462687,1,0.875,2.130333768,1.537246042,5.666666667,7.454545455,0.0000,0.2936,0.0000,0.3285,0.0000,0.3272
Alex_OGL_diciotto_102,Alex,OGL,OGL,OGL_diciotto,0.4572,0.45,Medium,2,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,2,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,13,5,0.3671875,47,1,0.015625,2,0.833333333,2.11058971,1.369422958,5.5,7.363636364,0.0004,0.2797,0.0006,0.2924,0.0000,0.3360
Alex_OGL_diciotto_103,Alex,OGL,OGL,OGL_diciotto,1.0668,0.57,Medium,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,11,5,0.259259259,7,1,0.037037037,1,0.833333333,1.447158031,1.934712733,4.818181818,6.888888889,0.0000,0.4633,0.0001,0.5303,0.0000,0.4269
Alex_OGL_diciotto_104,Alex,OGL,OGL,OGL_diciotto,0.94488,0.47,Coarse,1,0,0,0,0,0,0,0,0,0,0,19,0,2,0,0,45,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,15,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,1,0,0,3,0,0,1,0,0,1,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,2,0,0,21,9,0.571770335,239,1,0.035885167,15,0.9,2.622214023,1.726871099,5.75,7.352941176,0.0028,0.3815,0.0081,0.4282,0.0009,0.3890
Alex_OGL_diciotto_105,Alex,OGL,OGL,OGL_diciotto,0.48768,0.51,Medium,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,10,6,0.283333333,17,0,0,0,1,1.785329835,1.385978289,5.5,7.25,0.0000,0.2584,0.0000,0.2870,0.0000,0.2815
Alex_OGL_diciotto_106,Alex,OGL,OGL,OGL_diciotto,1.2192,0.4,Coarse,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0.277777778,10,0,0,0,1,1.568201724,0.777789932,4.666666667,8,0.0000,0.1675,0.0000,0.1701,0.0000,0.2289
Alex_OGL_diciotto_107,Alex,OGL,OGL,OGL_diciotto,1.12776,0.56,Medium,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,4,0.466666667,14,0,0,0,1,1.491361694,1.470808476,5.166666667,7.6,0.0000,0.2708,0.0000,0.3049,0.0000,0.3155
Alex_OGL_diciotto_108,Alex,OGL,OGL,OGL_diciotto,0.18288,0.23,Medium,13,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,8,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,8,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,17,7,0.294573643,38,1,0.007751938,1,0.875,2.113943352,1.789747071,5.307692308,7.583333333,0.0015,0.3546,0.0029,0.4054,0.0002,0.3541
Alex_OGL_diciotto_109,Alex,OGL,OGL,OGL_diciotto,0.27432,0.24,Medium,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,6,0.327586207,19,0,0,0,1,1.770852012,1.319684312,5.666666667,7.125,0.0000,0.2671,0.0000,0.2898,0.0000,0.3080
Alex_OGL_diciotto_110,Alex,OGL,OGL,OGL_diciotto,1.00584,0.56,Medium,1,0,0,0,0,0,0,0,4,0,0,9,0,1,0,0,10,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,15,6,0.467213115,57,1,0.016393443,2,0.857142857,2.089905111,1.987792667,5.076923077,7.230769231,0.0002,0.4038,0.0004,0.4479,0.0002,0.4229
