"Metrics","Variables","Interaction","Intercept_grouping","Wifull","CWI_Global","Model_Approved","Floor_Sig","Wi_Floor","CWI_Floor","Median_Sig","Wi_Median","CWI_Median","Ceiling_Sig","Wi_Ceiling","CWI_Ceiling","CV_Uncertainty","Formula"
"Acroloxidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aeshnidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ameletidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ancylidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthomyiidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apataniidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aphelocheiridae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asellidae","","","no",0.5,0.496996905201049,"NO","NO",0.5,0.496996905201049,"NO",0.5,0.496996905201049,"NO",0.5,0.496996905201049,0.00600618959790135,"VAR ~ 1"
"Astacidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Athericidae","","","no",0.5,0.495865560541001,"NO","NO",0.5,0.495865560541001,"NO",0.5,0.495865560541001,"NO",0.5,0.495865560541001,0.00826887891799706,"VAR ~ 1"
"Baetidae","poly(VEL,2) log10(DEPTH)","","full",0.895912721529518,0.85969651942121,"YES","NO",0.307459835986965,0.295031139203554,"YES",1,0.959576193932732,"YES",0.845721721053108,0.811534430214381,0.0404238060672684,"VAR ~ 1 + poly(VEL, 2) + log10(DEPTH) + GROUP + SUB"
"Beraeidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bithyniidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blephariceridae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brachycentridae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caenidae","","","no_sub",0.5,0.49369570067613,"NO","NO",0.5,0.49369570067613,"NO",0.5,0.49369570067613,"NO",0.5,0.49369570067613,0.0126085986477398,"VAR ~ 1 + GROUP"
"Calamoceratidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calopterygidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cambaridae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ceratopogonidae","VEL","(VEL):GROUP","no_sub",0.60859874656769,0.555170397377575,"NO","NO",1.80486183247569e-12,1.64641459812094e-12,"NO",0.999999999999997,0.912210878692348,"NO",0.999999999999999,0.91221087869235,0.0877891213076496,"VAR ~ 1 + VEL + (VEL):GROUP + GROUP"
"Chironomidae","","","no_sub",0.5,0.484076957372954,"NO","NO",0.5,0.484076957372954,"NO",0.5,0.484076957372954,"NO",0.5,0.484076957372954,0.031846085254091,"VAR ~ 1 + GROUP"
"Chloroperlidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coenagrionidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corbiculidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cordulegastridae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corixidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crambidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Culicidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Curculionidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dendrocoelidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dixidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dolichopodidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dreissenidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dryopidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dugesiidae","","","no_sub",0.5,0.48141738778846,"NO","NO",0.5,0.48141738778846,"NO",0.5,0.48141738778846,"NO",0.5,0.48141738778846,0.0371652244230802,"VAR ~ 1 + GROUP"
"Dytiscidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ecnomidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elmidae","exp(VEL) DEPTH","","no_sub",0.680570763614008,0.659545124548669,"NO","NO",0.0488104696198227,0.0473025128110607,"NO",0.999999999999976,0.969105873790841,"NO",1,0.969105873790864,0.0308941262091355,"VAR ~ 1 + exp(VEL) + DEPTH + GROUP"
"Empididae","","","no_sub",0.5,0.494777988909838,"NO","NO",0.5,0.494777988909838,"NO",0.5,0.494777988909838,"NO",0.5,0.494777988909838,0.0104440221803234,"VAR ~ 1 + GROUP"
"Enchytraeidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ephemerellidae","","","no_sub",0.5,0.494731106432047,"NO","NO",0.5,0.494731106432047,"NO",0.5,0.494731106432047,"NO",0.5,0.494731106432047,0.0105377871359069,"VAR ~ 1 + GROUP"
"Ephemeridae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ephydridae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erpobdellidae","","","no",0.5,0.497620401430739,"NO","NO",0.5,0.497620401430739,"NO",0.5,0.497620401430739,"NO",0.5,0.497620401430739,0.00475919713852178,"VAR ~ 1"
"Gammaridae","","","no_sub",0.5,0.479900846801121,"NO","NO",0.5,0.479900846801121,"NO",0.5,0.479900846801121,"NO",0.5,0.479900846801121,0.0401983063977582,"VAR ~ 1 + GROUP"
"Gerridae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glossiphoniidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glossosomatidae","VEL","(VEL):GROUP","no",0.663279488769238,0.620585229890501,"NO","NO",1.88739084253259e-09,1.76590245852426e-09,"NO",1,0.935631570700371,"NO",1,0.935631570700371,0.0643684292996294,"VAR ~ 1 + VEL + (VEL):GROUP"
"Goeridae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gomphidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gyrinidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Haemopidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Haliplidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Haplotaxidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Helophoridae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heptageniidae","VEL","(VEL):GROUP","no_sub",0.999999996715973,0.949512497225391,"YES","YES",0.999999999999998,0.949512500343613,"YES",1,0.949512500343615,"YES",1,0.949512500343615,0.0504874996563849,"VAR ~ 1 + VEL + (VEL):GROUP + GROUP"
"Hirudinidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hydrachnidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hydraenidae","VEL","(VEL):GROUP","no",0.738493131866373,0.683471088167725,"NO","NO",1.88738050367262e-09,1.74675965282381e-09,"NO",1,0.925494170054647,"NO",1,0.925494170054647,0.0745058299453534,"VAR ~ 1 + VEL + (VEL):GROUP"
"Hydridae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hydrobiidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hydrochidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hydrometridae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hydrophilidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hydropsychidae","exp(VEL)","(exp(VEL)):GROUP","full",0.716436112293381,0.692194145398408,"NO","NO",0.999693616121079,0.965867097424882,"NO",0.999999998847347,0.966163113113838,"NO",1,0.966163114227489,0.0338368857725106,"VAR ~ 1 + exp(VEL) + (exp(VEL)):GROUP + GROUP + SUB"
"Hydroptilidae","","","no_sub",0.5,0.494576278056032,"NO","NO",0.5,0.494576278056032,"NO",0.5,0.494576278056032,"NO",0.5,0.494576278056032,0.0108474438879367,"VAR ~ 1 + GROUP"
"Ichneumonidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lepidostomatidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leptoceridae","","","no_sub",0.5,0.490704014599392,"NO","NO",0.5,0.490704014599392,"NO",0.5,0.490704014599392,"NO",0.5,0.490704014599392,0.0185919708012151,"VAR ~ 1 + GROUP"
"Leptophlebiidae","","","no",0.5,0.474393481499019,"NO","NO",0.5,0.474393481499019,"NO",0.5,0.474393481499019,"NO",0.5,0.474393481499019,0.0512130370019613,"VAR ~ 1"
"Lestidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leuctridae","VEL","(VEL):GROUP","no_sub",0.859672947823749,0.814625870640637,"YES","NO",0.675468992011758,0.640074248121096,"YES",0.999999984098389,0.947599735165552,"YES",0.999999999999999,0.947599750233913,0.052400249766086,"VAR ~ 1 + VEL + (VEL):GROUP + GROUP"
"Libellulidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Limnephilidae","","","no_sub",0.5,0.49445641061046,"NO","NO",0.5,0.49445641061046,"NO",0.5,0.49445641061046,"NO",0.5,0.49445641061046,0.0110871787790791,"VAR ~ 1 + GROUP"
"Limoniidae","","","no_sub",0.5,0.494074119425581,"NO","NO",0.5,0.494074119425581,"NO",0.5,0.494074119425581,"NO",0.5,0.494074119425581,0.0118517611488377,"VAR ~ 1 + GROUP"
"Lumbricidae","log10(DEPTH)","(log10(DEPTH)):GROUP","no",0.551835832521301,0.545049168731022,"NO","NO",1.88738689759388e-09,1.86417517490161e-09,"NO",0.999999962996374,0.987701625086457,"NO",1,0.987701661635,0.0122983383650004,"VAR ~ 1 + log10(DEPTH) + (log10(DEPTH)):GROUP"
"Lumbriculidae","","","no_group",0.5,0.494778408347736,"NO","NO",0.5,0.494778408347736,"NO",0.5,0.494778408347736,"NO",0.5,0.494778408347736,0.010443183304528,"VAR ~ 1 + SUB"
"Lymnaeidae","","","no_sub",0.5,0.484451106650289,"NO","NO",0.5,0.484451106650289,"NO",0.5,0.484451106650289,"NO",0.5,0.484451106650289,0.0310977866994225,"VAR ~ 1 + GROUP"
"Melanopsidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mesoveliidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Muscidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Naididae","","","no_sub",0.5,0.494464828106663,"NO","NO",0.5,0.494464828106663,"NO",0.5,0.494464828106663,"NO",0.5,0.494464828106663,0.011070343786674,"VAR ~ 1 + GROUP"
"Nemouridae","VEL","(VEL):GROUP","no_sub",0.670783025994679,0.647230412460193,"NO","NO",7.61243479331631e-09,7.34514607580951e-09,"NO",0.999999999996356,0.964887880843558,"NO",1,0.964887880847073,0.0351121191529267,"VAR ~ 1 + VEL + (VEL):GROUP + GROUP"
"Nepidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neritidae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Odontoceridae",NA,NA,NA,NA,NA,"EXCLUDED_SPARSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
