"Metrics","Variables","Interaction","Intercept_grouping","Wifull","Floor_Sig","Wi_Floor","Median_Sig","Wi_Median","Ceiling_Sig","Wi_Ceiling","Formula"
"Athericidae","log10(VEL)","(log10(VEL)):GROUP","no_group",NA,"YES",1,"YES",1,"YES",1,"VAR ~ 1 + log10(VEL) + (log10(VEL)):GROUP + GROUP + SUB"
"Baetidae","poly(VEL,2) log10(DEPTH)","(log10(DEPTH)):GROUP","no_group",NA,"NO",0.693308900956689,"YES",1,"YES",1,"VAR ~ 1 + poly(VEL, 2) + log10(DEPTH) + (log10(DEPTH)):GROUP +     GROUP + SUB"
"Caenidae","exp(VEL)","(exp(VEL)):GROUP","no_group",NA,"YES",1,"YES",1,"YES",1,"VAR ~ 1 + exp(VEL) + (exp(VEL)):GROUP + GROUP + SUB"
"Chironomidae","log10(VEL)","(log10(VEL)):GROUP","no_group",NA,"YES",0.999999999626695,"YES",0.999999999975821,"YES",1,"VAR ~ 1 + log10(VEL) + (log10(VEL)):GROUP + GROUP + SUB"
"Elmidae","DEPTH","(DEPTH):GROUP","no_sub",NA,"YES",0.999999999999968,"YES",0.999999999918553,"YES",0.813230426189196,"VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Empididae","DEPTH","(DEPTH):GROUP","no_sub",NA,"YES",1,"YES",1,"NO",0.705835853138129,"VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Ephemerellidae","VEL","(VEL):GROUP","no_sub",NA,"YES",1,"YES",1,"YES",0.952391437410426,"VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Gammaridae","DEPTH","(DEPTH):GROUP","no_sub",NA,"YES",0.992837945013033,"YES",1,"YES",0.942573170609595,"VAR ~ 1 + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"Heptageniidae","log10(VEL)","(log10(VEL)):GROUP","no_sub",NA,"YES",0.98049852448068,"YES",0.947555097172452,"YES",0.998911358927526,"VAR ~ 1 + log10(VEL) + (log10(VEL)):GROUP + GROUP + SUB"
"Hydropsychidae","exp(VEL)","(exp(VEL)):GROUP","no_group",NA,"YES",0.999999999999911,"YES",1,"YES",1,"VAR ~ 1 + exp(VEL) + (exp(VEL)):GROUP + GROUP + SUB"
"Leuctridae","log10(VEL)","(log10(VEL)):GROUP","no_sub",NA,"YES",1,"YES",1,"YES",0.956540031936267,"VAR ~ 1 + log10(VEL) + (log10(VEL)):GROUP + GROUP + SUB"
"Limnephilidae","VEL","(VEL):GROUP","no_sub",NA,"YES",1,"YES",1,"NO",0.64818126307051,"VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Limoniidae","VEL","(VEL):GROUP","no_sub",NA,"YES",1,"YES",1,"NO",0.456822899044394,"VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Lumbricidae","exp(DEPTH)","(exp(DEPTH)):GROUP","no_sub",NA,"YES",1,"YES",0.999999999999805,"YES",0.983427033496647,"VAR ~ 1 + exp(DEPTH) + (exp(DEPTH)):GROUP + GROUP + SUB"
"Naididae","exp(DEPTH)","(exp(DEPTH)):GROUP","no_group",NA,"YES",1,"YES",0.999999999999968,"YES",1,"VAR ~ 1 + exp(DEPTH) + (exp(DEPTH)):GROUP + GROUP + SUB"
"Rhyacophilidae","VEL","(VEL):GROUP","no_group",NA,"YES",1,"YES",1,"YES",1,"VAR ~ 1 + VEL + (VEL):GROUP + GROUP + SUB"
"Simuliidae","exp(VEL)","(exp(VEL)):GROUP","no_group",NA,"YES",1,"YES",1,"YES",1,"VAR ~ 1 + exp(VEL) + (exp(VEL)):GROUP + GROUP + SUB"
"RICHNESS","exp(VEL) DEPTH","(exp(VEL)):GROUP","no_group",NA,"YES",1,"YES",1,"YES",1,"VAR ~ 1 + exp(VEL) + DEPTH + (exp(VEL)):GROUP + GROUP + SUB"
"EPT","exp(DEPTH)","(log10(VEL)):GROUP","no_sub",NA,"NO",0.497488532579363,"YES",0.99999999997471,"YES",0.765297296038805,"VAR ~ 1 + exp(DEPTH) + (log10(VEL)):GROUP + GROUP + SUB"
"EPT_prop","log10(VEL) exp(DEPTH)","(exp(DEPTH)):GROUP","no_group",NA,"YES",0.794756806526432,"YES",1,"YES",1,"VAR ~ 1 + log10(VEL) + exp(DEPTH) + (exp(DEPTH)):GROUP + GROUP +     SUB"
"EPT_abu","poly(VEL,2) DEPTH","(DEPTH):GROUP","no_group",NA,"YES",1,"YES",1,"YES",1,"VAR ~ 1 + poly(VEL, 2) + DEPTH + (DEPTH):GROUP + GROUP + SUB"
"OCH","exp(DEPTH)","(exp(DEPTH)):GROUP","no_group",NA,"YES",0.918261717047917,"YES",1,"YES",1,"VAR ~ 1 + exp(DEPTH) + (exp(DEPTH)):GROUP + GROUP + SUB"
"OCH_prop","log10(VEL)","(log10(VEL)):GROUP","no_group",NA,"YES",1,"YES",1,"YES",1,"VAR ~ 1 + log10(VEL) + (log10(VEL)):GROUP + GROUP + SUB"
"OCH_abu","log10(DEPTH)","(log10(DEPTH)):GROUP","no_sub",NA,"YES",1,"YES",0.999999999990147,"NO",0.29592393635503,"VAR ~ 1 + log10(DEPTH) + (log10(DEPTH)):GROUP + GROUP + SUB"
"EPT_EPTOCH","log10(VEL)","(log10(VEL)):GROUP","no_group",NA,"YES",1,"YES",0.999999999415913,"NO",0.571547026871627,"VAR ~ 1 + log10(VEL) + (log10(VEL)):GROUP + GROUP + SUB"
"ABUNDANCE","VEL DEPTH","(VEL):GROUP","no_sub",NA,"NO",0.747679389246386,"YES",0.999999997584153,"YES",0.803946551072916,"VAR ~ 1 + VEL + DEPTH + (VEL):GROUP + GROUP + SUB"
"SHANNON","log10(VEL)","(log10(VEL)):GROUP","no_sub",NA,"YES",0.818589675944759,"YES",1,"YES",0.99999999999794,"VAR ~ 1 + log10(VEL) + (log10(VEL)):GROUP + GROUP + SUB"
"ASPT","exp(DEPTH)","(exp(DEPTH)):GROUP","no_group",NA,"YES",1,"YES",1,"YES",1,"VAR ~ 1 + exp(DEPTH) + (exp(DEPTH)):GROUP + GROUP + SUB"
